Birth Date,Date,Age (Weeks),Weight [lbs]
2/12/2022,3/28/2022,6.29,4.5
,4/13/2022,8.57,6.5
,4/24/2022,10.14,8.6
,5/1/2022,11.14,10
,5/2/2022,11.29,10.6
,5/8/2022,12.14,12.6
,5/11/2022,12.57,12.4
,5/16/2022,13.29,14.4
,5/21/2022,14,16.4
,7/28/2022,23.71,32
,8/8/2022,25.29,35
,8/12/2022,25.86,36.2
,8/12/2022,25.86,36.4
,8/12/2022,25.86,36.4
,8/12/2022,25.86,36.4
,8/24/2022,27.57142857,36
,9/9/2022,29.85714286,41
,10/3/2022,33.28571429,41.4
,11/3/2022,37.71428571,42
,12/3/2022,42,47.2
,3/10/2023,53,52.4
,4/8/2023,60,53.6
,6/18/2025,174,65.7
,12/9/2025,,79.5
